,correlation_with_price
price,1.0
calculated_host_listings_count,0.17440896918173512
latitude,0.06874664317742606
availability_365,0.06667041825004472
minimum_nights,0.031476137483549715
id,-0.01791471983233599
number_of_reviews,-0.027606372811451653
host_id,-0.034762268547287235
reviews_per_month,-0.0472927032885095
longitude,-0.3069683391654519
